Partito;1948;1948_percent;1953;1953_percent;1958;1958_percent;1963;1963_percent;1968;1968_percent;1972;1972_percent;1976;1976_percent;1979;1987_percent;1983;1983_percent;1987;1987_percent;1992;1992_percent;1994;1994_percent;1996;1996_percent;2001;2001_percent;2006;2006_percent;2008;2008_percent;2013;2013_percent;2018;2018_percent
UNION FUR SUD TIROL;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;55548;0,11%;0;0,00%;0;0,00%;12981;0,03%;0;0,00%;0;0,00%
MANI PULITE;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;44935;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
NOI SICILIANI-FNS;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;41001;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
PS D'AZ.;61928;0,21%;27231;0,09%;0;0,00%;0;0,00%;27228;0,08%;0;0,00%;0;0,00%;17673;0,04%;91923;0,21%;169978;0,37%;0;0,00%;0;0,00%;38002;0,08%;0;0,00%;0;0,00%;14860;0,03%;18592;0,04%;0;0,00%
VERDI-VERDI;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;25887;0,05%;32832;0,07%;25788;0,05%;18262;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
SARDIGNA NATZIONE;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;23355;0,05%;0;0,00%;11000;0,02%;7176;0,01%;0;0,00%;0;0,00%
GR.INDIP.LIBERTA';0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;17451;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
AMBIENTALISTI;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;15560;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
PART.UMANISTA;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14601;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
RINNOVAMENTO;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6000;0,01%;13677;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
